n,count(DISTINCT r)
"{date:1995/11/29,paperId:9511461}",14
"{date:1995/1/13,paperId:9501295}",16
"{date:None,paperId:211036}",23
"{date:1996/9/6,paperId:9609271}",23
"{date:None,paperId:206230}",11
"{date:None,paperId:12229}",10
"{date:1999/6/8,paperId:9906283}",22
"{date:1997/5/26,paperId:9705427}",3
"{date:1996/7/15,paperId:9607324}",24
"{date:1995/2/20,paperId:9502347}",5
"{date:1999/4/17,paperId:9904371}",12
"{date:None,paperId:1280}",9
"{date:1999/12/5,paperId:9912245}",12
"{date:None,paperId:12062}",59
"{date:1998/10/29,paperId:9810517}",38
"{date:None,paperId:2180}",15
"{date:1994/8/30,paperId:9408391}",27
"{date:None,paperId:210272}",9
"{date:1992/12/2,paperId:9212208}",9
"{date:None,paperId:208139}",10
"{date:1994/4/11,paperId:9404252}",1
"{date:1998/11/30,paperId:9811513}",12
"{date:1994/10/14,paperId:9410288}",12
"{date:1997/12/17,paperId:9712428}",18
"{date:1995/8/21,paperId:9508344}",8
"{date:None,paperId:110278}",64
"{date:1998/9/17,paperId:9809439}",28
"{date:1996/5/12,paperId:9605284}",5
"{date:None,paperId:109161}",13
"{date:1992/5/9,paperId:9205214}",28
"{date:None,paperId:211427}",23
"{date:None,paperId:101227}",3
"{date:1996/1/23,paperId:9601317}",41
"{date:1998/2/7,paperId:9802267}",55
"{date:1998/3/20,paperId:9803397}",40
"{date:1996/11/25,paperId:9611423}",64
"{date:1999/5/27,paperId:9905518}",15
"{date:1993/3/10,paperId:9303242}",2
"{date:1994/9/21,paperId:9409377}",11
"{date:1998/12/16,paperId:9812380}",7
"{date:1999/12/1,paperId:9912214}",30
"{date:1994/6/7,paperId:9406241}",49
"{date:None,paperId:110396}",5
"{date:1993/4/30,paperId:9304321}",38
"{date:1993/6/3,paperId:9306219}",25
"{date:1992/12/19,paperId:9212286}",4
"{date:None,paperId:6337}",7
"{date:1999/12/1,paperId:9912204}",13
"{date:1998/1/16,paperId:9801327}",23
"{date:None,paperId:111221}",21
"{date:1996/2/4,paperId:9602221}",79
"{date:None,paperId:202119}",8
"{date:1996/1/22,paperId:9601307}",36
"{date:None,paperId:11037}",1
"{date:1994/12/23,paperId:9412369}",1
"{date:None,paperId:108148}",13
"{date:1995/12/23,paperId:9512413}",5
"{date:1997/9/5,paperId:9709264}",40
"{date:1999/8/30,paperId:9908509}",3
"{date:1996/11/13,paperId:9611316}",50
"{date:1999/9/13,paperId:9909346}",13
"{date:1995/9/8,paperId:9509253}",2
"{date:1995/7/27,paperId:9507439}",28
"{date:None,paperId:204091}",29
"{date:None,paperId:208233}",11
"{date:1999/6/28,paperId:9906521}",25
"{date:None,paperId:111183}",17
"{date:None,paperId:103174}",29
"{date:1996/4/4,paperId:9604246}",2
"{date:None,paperId:104169}",11
"{date:None,paperId:211027}",11
"{date:None,paperId:6005}",27
"{date:None,paperId:5022}",1
"{date:1997/7/9,paperId:9707301}",35
"{date:1997/10/30,paperId:9710549}",6
"{date:1999/9/2,paperId:9909219}",2
"{date:None,paperId:102048}",27
"{date:1999/1/5,paperId:9901217}",3
"{date:1997/10/28,paperId:9710498}",10
"{date:None,paperId:101225}",73
"{date:1999/11/19,paperId:9911408}",23
"{date:1998/12/15,paperId:9812368}",13
"{date:None,paperId:208259}",10
"{date:None,paperId:203011}",11
"{date:1998/5/7,paperId:9805243}",12
"{date:1993/11/10,paperId:9311265}",28
"{date:None,paperId:110284}",30
"{date:1998/5/16,paperId:9805344}",36
"{date:1994/6/1,paperId:9406206}",14
"{date:1998/6/9,paperId:9806315}",57
"{date:1995/10/26,paperId:9510414}",7
"{date:None,paperId:204043}",12
"{date:1996/3/28,paperId:9603430}",38
"{date:None,paperId:10026}",13
"{date:None,paperId:2135}",25
"{date:1996/11/9,paperId:9611286}",13
"{date:1997/7/21,paperId:9707412}",105
"{date:1992/9/14,paperId:9209232}",342
"{date:None,paperId:102061}",23
"{date:1999/7/26,paperId:9907498}",18
"{date:1997/7/2,paperId:9707215}",66
"{date:None,paperId:8292}",69
"{date:1999/9/1,paperId:9909214}",20
"{date:1998/11/4,paperId:9811245}",15
"{date:1994/3/10,paperId:9403268}",21
"{date:1997/7/14,paperId:9707341}",17
"{date:1994/6/30,paperId:9406431}",47
"{date:1994/3/8,paperId:9403242}",20
"{date:1995/6/30,paperId:9506467}",35
"{date:1999/9/9,paperId:9909310}",19
"{date:1998/9/28,paperId:9809568}",9
"{date:None,paperId:212137}",1
"{date:1994/5/5,paperId:9405238}",31
"{date:1998/9/12,paperId:9809352}",102
"{date:1995/7/19,paperId:9507346}",3
"{date:1997/11/4,paperId:9711230}",3
"{date:1993/11/9,paperId:9311243}",50
"{date:1993/4/19,paperId:9304267}",40
"{date:None,paperId:101133}",23
"{date:None,paperId:110139}",8
"{date:1998/10/2,paperId:9810230}",14
"{date:None,paperId:11328}",5
"{date:None,paperId:204148}",4
"{date:None,paperId:201023}",21
"{date:1997/1/16,paperId:9701303}",87
"{date:1998/5/14,paperId:9805330}",4
"{date:1997/7/11,paperId:9707324}",3
"{date:1999/10/11,paperId:9910297}",10
"{date:1997/7/23,paperId:9707438}",18
"{date:1997/7/8,paperId:9707286}",17
"{date:None,paperId:10215}",39
"{date:None,paperId:201017}",21
"{date:1997/4/24,paperId:9704402}",76
"{date:1995/7/26,paperId:9507426}",23
"{date:1997/10/27,paperId:9710479}",9
"{date:1998/7/21,paperId:9807450}",7
"{date:None,paperId:12001}",57
"{date:1998/5/12,paperId:9805296}",12
"{date:1994/5/25,paperId:9405375}",5
"{date:1998/7/7,paperId:9807276}",16
"{date:None,paperId:109105}",3
"{date:None,paperId:209266}",12
"{date:None,paperId:6273}",15
"{date:None,paperId:3158}",4
"{date:None,paperId:10152}",6
"{date:1993/12/8,paperId:9312244}",4
"{date:1996/7/17,paperId:9607356}",5
"{date:1999/9/1,paperId:9909213}",7
"{date:1997/10/12,paperId:9710322}",10
"{date:1993/10/1,paperId:9310202}",5
"{date:1998/1/23,paperId:9801398}",1
"{date:1995/4/28,paperId:9504423}",9
"{date:1997/2/22,paperId:9702386}",6
"{date:None,paperId:106293}",22
"{date:1999/11/24,paperId:9911478}",6
"{date:1999/1/13,paperId:9901290}",6
"{date:None,paperId:111127}",75
"{date:1999/4/13,paperId:9904313}",28
"{date:1996/5/27,paperId:9605411}",17
"{date:None,paperId:12128}",15
"{date:None,paperId:205057}",27
"{date:None,paperId:7094}",3
"{date:1997/2/3,paperId:9702225}",23
"{date:1994/6/21,paperId:9406347}",13
"{date:1998/6/1,paperId:9806217}",20
"{date:None,paperId:9349}",11
"{date:None,paperId:102318}",13
"{date:1996/5/27,paperId:9605409}",9
"{date:1998/7/7,paperId:9807272}",3
"{date:1997/1/23,paperId:9701359}",7
"{date:1992/7/27,paperId:9207260}",2
"{date:1995/5/22,paperId:9505356}",20
"{date:1994/11/23,paperId:9411377}",79
"{date:1998/1/22,paperId:9801395}",18
"{date:1998/8/4,paperId:9808221}",8
"{date:1995/5/12,paperId:9505297}",6
"{date:1996/10/9,paperId:9610298}",11
"{date:1999/5/25,paperId:9905477}",13
"{date:None,paperId:110096}",27
"{date:1992/12/16,paperId:9212268}",26
"{date:None,paperId:8164}",11
"{date:1995/10/23,paperId:9510372}",76
"{date:1992/11/25,paperId:9211307}",12
"{date:1995/7/6,paperId:9507250}",14
"{date:1992/7/30,paperId:9207271}",3
"{date:None,paperId:101007}",2
"{date:1993/2/22,paperId:9302291}",18
"{date:1995/7/21,paperId:9507370}",2
"{date:1996/7/23,paperId:9607412}",25
"{date:1996/3/7,paperId:9603244}",44
"{date:1994/7/25,paperId:9407366}",3
"{date:1995/7/6,paperId:9507248}",27
"{date:None,paperId:5243}",22
"{date:1997/1/28,paperId:9701394}",30
"{date:1999/12/7,paperId:9912258}",15
"{date:1993/6/1,paperId:9306205}",150
"{date:None,paperId:210209}",22
"{date:None,paperId:301202}",22
"{date:None,paperId:8185}",4
"{date:1997/3/6,paperId:9703255}",11
"{date:None,paperId:110184}",37
"{date:1999/10/7,paperId:9910266}",12
"{date:1999/3/1,paperId:9903209}",13
"{date:None,paperId:103112}",6
"{date:1996/6/3,paperId:9606203}",60
"{date:None,paperId:101177}",26
"{date:1996/10/10,paperId:9610309}",36
"{date:1994/9/7,paperId:9409242}",4
"{date:1998/11/30,paperId:9811520}",22
"{date:None,paperId:112044}",26
"{date:None,paperId:211001}",70
"{date:None,paperId:11137}",2
"{date:None,paperId:4080}",2
"{date:1994/12/26,paperId:9412373}",23
"{date:None,paperId:108067}",8
"{date:1999/6/16,paperId:9906401}",25
"{date:1999/3/11,paperId:9903318}",24
"{date:1999/6/28,paperId:9906524}",14
"{date:None,paperId:205226}",3
"{date:None,paperId:212125}",17
"{date:1997/12/11,paperId:9712349}",34
"{date:None,paperId:7234}",18
"{date:1994/5/25,paperId:9405380}",15
"{date:1993/10/20,paperId:9310318}",5
"{date:1994/9/29,paperId:9409445}",10
"{date:1997/6/11,paperId:9706335}",8
"{date:None,paperId:9080}",3
"{date:1997/8/1,paperId:9708217}",5
"{date:None,paperId:107219}",37
"{date:None,paperId:101340}",26
"{date:1998/8/14,paperId:9808324}",47
"{date:1994/8/2,paperId:9408210}",9
"{date:1999/11/9,paperId:9911283}",36
"{date:1996/3/15,paperId:9603321}",9
"{date:1999/1/15,paperId:9901324}",20
"{date:1995/12/29,paperId:9512442}",32
"{date:1998/12/23,paperId:9812489}",132
"{date:None,paperId:7358}",3
"{date:1996/10/14,paperId:9610348}",10
"{date:1998/6/29,paperId:9806518}",25
"{date:None,paperId:201197}",43
"{date:None,paperId:2168}",51
"{date:1995/7/17,paperId:9507321}",29
"{date:1997/2/22,paperId:9702398}",12
"{date:1995/12/6,paperId:9512244}",20
"{date:1996/9/24,paperId:9609458}",22
"{date:1994/7/13,paperId:9407289}",25
"{date:1994/5/12,paperId:9405277}",56
"{date:1995/6/11,paperId:9506291}",25
"{date:1994/1/12,paperId:9401241}",108
"{date:1994/12/29,paperId:9412384}",23
"{date:1994/10/18,paperId:9410309}",13
"{date:None,paperId:3107}",67
"{date:1998/3/20,paperId:9803408}",16
"{date:1999/10/25,paperId:9910475}",6
"{date:1997/3/12,paperId:9703312}",38
"{date:1997/10/24,paperId:9710460}",102
"{date:1999/9/25,paperId:9909509}",55
"{date:1995/2/23,paperId:9502377}",9
"{date:1999/8/19,paperId:9908418}",2
"{date:1997/5/5,paperId:9705229}",18
"{date:None,paperId:212016}",17
"{date:1996/11/11,paperId:9611277}",67
"{date:None,paperId:211325}",6
"{date:1993/9/3,paperId:9309222}",6
"{date:1996/2/1,paperId:9602206}",103
"{date:1995/9/14,paperId:9509298}",5
"{date:None,paperId:301035}",30
"{date:None,paperId:1009}",11
"{date:None,paperId:212290}",20
"{date:1999/9/2,paperId:9909234}",77
"{date:None,paperId:103181}",20
"{date:None,paperId:109014}",2
"{date:1998/9/3,paperId:9809252}",14
"{date:1996/2/2,paperId:9602215}",2
"{date:1994/11/7,paperId:9411235}",7
"{date:1997/8/1,paperId:9708208}",7
"{date:None,paperId:212353}",3
"{date:1998/10/5,paperId:9810249}",17
"{date:None,paperId:111284}",2
"{date:1996/3/13,paperId:9603295}",7
"{date:None,paperId:103340}",10
"{date:None,paperId:102233}",8
"{date:None,paperId:208040}",15
"{date:None,paperId:105341}",7
"{date:1993/12/9,paperId:9312261}",3
"{date:1999/9/13,paperId:9909338}",14
"{date:None,paperId:301198}",10
"{date:1996/12/20,paperId:9612443}",9
"{date:1995/12/29,paperId:9512440}",28
"{date:1999/9/10,paperId:9909323}",1
"{date:1997/12/15,paperId:9712374}",7
"{date:None,paperId:205105}",14
"{date:1997/12/19,paperId:9712450}",3
"{date:1992/11/12,paperId:9211241}",1
"{date:1994/6/30,paperId:9406433}",1
"{date:1998/3/30,paperId:9803488}",35
"{date:None,paperId:104181}",10
"{date:1999/4/30,paperId:9904500}",16
"{date:None,paperId:206060}",40
"{date:1993/5/7,paperId:9305229}",6
"{date:1998/11/6,paperId:9811268}",20
"{date:None,paperId:2038}",34
"{date:None,paperId:212165}",3
"{date:1999/9/3,paperId:9909240}",16
"{date:1995/6/13,paperId:9506317}",80
"{date:None,paperId:5128}",2
"{date:1997/7/31,paperId:9707543}",22
"{date:None,paperId:208202}",42
"{date:1997/7/22,paperId:9707424}",11
"{date:1999/4/6,paperId:9904253}",9
"{date:None,paperId:6129}",24
"{date:1997/10/30,paperId:9710545}",30
"{date:None,paperId:106144}",9
"{date:1995/5/8,paperId:9505249}",12
"{date:1992/10/1,paperId:9210202}",2
"{date:1997/11/17,paperId:9711344}",12
"{date:1994/12/13,paperId:9412289}",7
"{date:1996/6/22,paperId:9606410}",46
"{date:1993/3/23,paperId:9303294}",17
"{date:1999/8/10,paperId:9908316}",32
"{date:1997/12/3,paperId:9712245}",48
"{date:1995/8/3,paperId:9508227}",24
"{date:1997/7/7,paperId:9707275}",42
"{date:1999/12/7,paperId:9912264}",54
"{date:1997/3/7,paperId:9703267}",34
"{date:1998/12/29,paperId:9812515}",16
"{date:1999/9/6,paperId:9909259}",38
"{date:None,paperId:201138}",5
"{date:1997/3/18,paperId:9703361}",24
"{date:None,paperId:104299}",2
"{date:1995/4/6,paperId:9504246}",89
"{date:1997/6/27,paperId:9706526}",49
"{date:None,paperId:302235}",15
"{date:None,paperId:301227}",5
"{date:1999/1/25,paperId:9901407}",13
"{date:None,paperId:11206}",16
"{date:1998/2/2,paperId:9802201}",71
"{date:1998/4/8,paperId:9804259}",3
"{date:1999/7/19,paperId:9907422}",95
"{date:1998/9/15,paperId:9809400}",1
"{date:1998/10/14,paperId:9810362}",9
"{date:1994/10/31,paperId:9410414}",48
"{date:1996/3/12,paperId:9603263}",18
"{date:1999/3/3,paperId:9903254}",8
"{date:None,paperId:201175}",5
"{date:1997/12/9,paperId:9712315}",28
"{date:1999/3/1,paperId:9903210}",2
"{date:1997/10/17,paperId:9710388}",11
"{date:None,paperId:205198}",6
"{date:1998/5/29,paperId:9805501}",11
"{date:None,paperId:1132}",19
"{date:1998/8/31,paperId:9808494}",3
"{date:1995/10/14,paperId:9510296}",11
"{date:None,paperId:110400}",14
"{date:1994/9/15,paperId:9409332}",4
"{date:1997/1/30,paperId:9701415}",22
"{date:None,paperId:106180}",26
"{date:1994/4/13,paperId:9404261}",6
"{date:1996/6/7,paperId:9606262}",15
"{date:1995/9/11,paperId:9509269}",28
"{date:None,paperId:212171}",8
"{date:1996/5/23,paperId:9605384}",3
"{date:1996/12/24,paperId:9612455}",5
"{date:None,paperId:5233}",53
"{date:None,paperId:204152}",30
"{date:1995/1/3,paperId:9501206}",7
"{date:1997/9/2,paperId:9709224}",6
"{date:None,paperId:12047}",10
"{date:1996/7/31,paperId:9607486}",7
"{date:None,paperId:104174}",46
"{date:None,paperId:103234}",25
"{date:None,paperId:104203}",12
"{date:1996/7/15,paperId:9607325}",1
"{date:None,paperId:9141}",37
"{date:1999/6/11,paperId:9906343}",68
"{date:None,paperId:12282}",15
"{date:1996/10/15,paperId:9610366}",31
"{date:None,paperId:104063}",8
"{date:1996/8/20,paperId:9608374}",14
"{date:1997/1/31,paperId:9702209}",37
"{date:1997/2/21,paperId:9702385}",48
"{date:1994/9/23,paperId:9409396}",16
"{date:1994/6/15,paperId:9406313}",7
"{date:1996/6/19,paperId:9606381}",51
"{date:1998/3/20,paperId:9803401}",52
"{date:1996/6/5,paperId:9606247}",35
"{date:1995/4/18,paperId:9504326}",95
"{date:1997/6/28,paperId:9706535}",11
"{date:1999/12/20,paperId:9912419}",11
"{date:None,paperId:101246}",9
"{date:1997/8/1,paperId:9708207}",48
"{date:1996/1/16,paperId:9601276}",128
"{date:1998/12/17,paperId:9812401}",15
"{date:None,paperId:6014}",50
"{date:1999/10/14,paperId:9910337}",13
"{date:1996/7/19,paperId:9607372}",177
"{date:1997/12/21,paperId:9712471}",45
"{date:None,paperId:112220}",17
"{date:1994/3/17,paperId:9403305}",14
"{date:1997/8/15,paperId:9708372}",53
"{date:1995/8/14,paperId:9508295}",12
"{date:1994/11/28,paperId:9411412}",2
"{date:1999/6/22,paperId:9906454}",1
"{date:None,paperId:3282}",14
"{date:1994/5/4,paperId:9405224}",8
"{date:1998/2/27,paperId:9802442}",31
"{date:None,paperId:103006}",6
"{date:1993/11/2,paperId:9311213}",26
"{date:1997/7/7,paperId:9707264}",47
"{date:None,paperId:211063}",13
"{date:None,paperId:10200}",19
"{date:None,paperId:210420}",4
"{date:None,paperId:302020}",8
"{date:None,paperId:112301}",32
"{date:None,paperId:11065}",15
"{date:1999/11/8,paperId:9911269}",50
"{date:None,paperId:302143}",4
"{date:1998/5/13,paperId:9805312}",6
"{date:None,paperId:110343}",6
"{date:None,paperId:211089}",11
"{date:None,paperId:206236}",4
"{date:1999/6/23,paperId:9906463}",16
"{date:1998/4/7,paperId:9804248}",27
"{date:1998/5/24,paperId:9805437}",6
"{date:1997/11/24,paperId:9711431}",2
"{date:1998/9/1,paperId:9809212}",10
"{date:1999/2/22,paperId:9902422}",8
"{date:None,paperId:7187}",7
"{date:1996/4/1,paperId:9604205}",4
"{date:None,paperId:112355}",3
"{date:1996/6/17,paperId:9606347}",12
"{date:None,paperId:212381}",10
"{date:1995/4/6,paperId:9504242}",36
"{date:None,paperId:1097}",1
"{date:None,paperId:103252}",34
"{date:1999/2/8,paperId:9902266}",15
"{date:1999/8/2,paperId:9908214}",28
"{date:1998/10/5,paperId:9810246}",4
"{date:1993/1/10,paperId:9301225}",15
"{date:1996/12/11,paperId:9612330}",1
"{date:1995/2/9,paperId:9502261}",63
"{date:None,paperId:108268}",24
"{date:1994/5/17,paperId:9405310}",4
"{date:None,paperId:110033}",19
"{date:1997/7/30,paperId:9707517}",21
"{date:1994/6/8,paperId:9406260}",9
"{date:1993/4/20,paperId:9304278}",2
"{date:1993/9/7,paperId:9309235}",33
"{date:None,paperId:6355}",6
"{date:1996/12/19,paperId:9612409}",33
"{date:None,paperId:206080}",22
"{date:1998/2/2,paperId:9802209}",87
"{date:1999/8/17,paperId:9908377}",8
"{date:1999/10/12,paperId:9910309}",64
"{date:1995/4/12,paperId:9504294}",14
"{date:None,paperId:5146}",29
"{date:1996/7/29,paperId:9607463}",37
"{date:None,paperId:211387}",9
"{date:None,paperId:4190}",44
"{date:1996/7/5,paperId:9607251}",80
"{date:1995/6/15,paperId:9506336}",13
"{date:1997/12/2,paperId:9712237}",18
"{date:None,paperId:107010}",20
"{date:None,paperId:103328}",14
"{date:None,paperId:105113}",22
"{date:None,paperId:101111}",17
"{date:1993/5/10,paperId:9305234}",2
"{date:1994/9/23,paperId:9409398}",2
"{date:1995/4/28,paperId:9504426}",78
"{date:1998/6/4,paperId:9806260}",35
"{date:1992/5/4,paperId:9205204}",5
"{date:1999/5/14,paperId:9905351}",57
"{date:None,paperId:111248}",3
"{date:None,paperId:207148}",7
"{date:1999/4/8,paperId:9904267}",120
"{date:None,paperId:301002}",22
"{date:1998/8/18,paperId:9808351}",10
"{date:None,paperId:202067}",12
"{date:None,paperId:212226}",38
"{date:None,paperId:210406}",32
"{date:None,paperId:111097}",10
"{date:1999/4/22,paperId:9904427}",28
"{date:None,paperId:4140}",15
"{date:None,paperId:209250}",46
"{date:None,paperId:11312}",10
"{date:1994/7/6,paperId:9407240}",4
"{date:1998/10/30,paperId:9810541}",2
"{date:None,paperId:212057}",11
"{date:None,paperId:7330}",22
"{date:None,paperId:11298}",45
"{date:1994/12/2,paperId:9412218}",4
"{date:1999/3/18,paperId:9903398}",3
"{date:1999/11/3,paperId:9911225}",16
"{date:1998/7/30,paperId:9807551}",13
"{date:None,paperId:7158}",23
"{date:1998/6/23,paperId:9806453}",28
"{date:1999/1/26,paperId:9901424}",6
"{date:1998/8/28,paperId:9808457}",12
"{date:1994/9/19,paperId:9409357}",8
"{date:None,paperId:10062}",10
"{date:1997/8/4,paperId:9708228}",20
"{date:None,paperId:210174}",3
"{date:1993/7/22,paperId:9307324}",32
"{date:1996/4/29,paperId:9604422}",4
"{date:None,paperId:107148}",11
"{date:None,paperId:101046}",33
"{date:None,paperId:11372}",20
"{date:1999/6/30,paperId:9906547}",2
"{date:1997/11/13,paperId:9711320}",2
"{date:1999/11/29,paperId:9911521}",23
"{date:None,paperId:12154}",22
"{date:1998/10/3,paperId:9810238}",5
"{date:1998/10/20,paperId:9810416}",30
"{date:1996/11/18,paperId:9611354}",9
"{date:None,paperId:210155}",79
"{date:1998/7/21,paperId:9807453}",16
"{date:None,paperId:3267}",24
"{date:None,paperId:206056}",36
"{date:None,paperId:2169}",4
"{date:1996/3/19,paperId:9603347}",22
"{date:1998/11/10,paperId:9811299}",36
"{date:1993/3/22,paperId:9303290}",3
"{date:1994/1/10,paperId:9401228}",42
"{date:None,paperId:110213}",55
"{date:1998/7/27,paperId:9807511}",6
"{date:1993/9/15,paperId:9309268}",32
"{date:1994/3/22,paperId:9403335}",22
"{date:None,paperId:111116}",14
"{date:1995/3/10,paperId:9503294}",18
"{date:1998/6/5,paperId:9806270}",16
"{date:1994/3/2,paperId:9403209}",7
"{date:1993/7/2,paperId:9307215}",1
"{date:1996/7/22,paperId:9607386}",15
"{date:None,paperId:211106}",4
"{date:1996/9/22,paperId:9609434}",171
"{date:1998/9/4,paperId:9809273}",15
"{date:None,paperId:110301}",72
"{date:None,paperId:111422}",47
"{date:1997/3/9,paperId:9703279}",116
"{date:1999/7/9,paperId:9907291}",15
"{date:1998/6/8,paperId:9806312}",7
"{date:1994/5/20,paperId:9405345}",46
"{date:1995/4/14,paperId:9504303}",2
"{date:1998/5/10,paperId:9805275}",32
"{date:1993/10/23,paperId:9310343}",1
"{date:None,paperId:101011}",6
"{date:None,paperId:207248}",49
"{date:1993/9/15,paperId:9309265}",6
"{date:None,paperId:106175}",29
"{date:None,paperId:212154}",28
"{date:None,paperId:11093}",22
"{date:None,paperId:10156}",22
"{date:None,paperId:4047}",9
"{date:None,paperId:12156}",80
"{date:1996/11/8,paperId:9611275}",7
"{date:1997/11/5,paperId:9711242}",1
"{date:None,paperId:108149}",11
"{date:None,paperId:110017}",18
"{date:1998/8/4,paperId:9808222}",11
"{date:1997/8/12,paperId:9708315}",16
"{date:None,paperId:4089}",7
"{date:None,paperId:1189}",37
"{date:None,paperId:107055}",20
"{date:1998/2/2,paperId:9802210}",10
"{date:1998/8/18,paperId:9808356}",33
"{date:1996/7/23,paperId:9607409}",6
"{date:1996/3/22,paperId:9603382}",9
"{date:1993/11/2,paperId:9311212}",9
"{date:None,paperId:101092}",60
"{date:None,paperId:6066}",3
"{date:1996/9/13,paperId:9609353}",12
"{date:None,paperId:5148}",19
"{date:1998/8/28,paperId:9808450}",5
"{date:None,paperId:3252}",36
"{date:None,paperId:103264}",3
"{date:None,paperId:7213}",58
"{date:1997/8/5,paperId:9708241}",10
"{date:1997/12/3,paperId:9712246}",1
"{date:1992/10/9,paperId:9210223}",4
"{date:1998/9/28,paperId:9809562}",16
"{date:None,paperId:109275}",8
"{date:1998/9/2,paperId:9809234}",100
"{date:1998/10/13,paperId:9810340}",34
"{date:1999/3/12,paperId:9903343}",12
"{date:None,paperId:1270}",19
"{date:1998/7/1,paperId:9807209}",36
"{date:1996/5/6,paperId:9605231}",53
"{date:1994/1/5,paperId:9401209}",23
"{date:1996/9/13,paperId:9609351}",16
"{date:None,paperId:112329}",74
"{date:1993/11/16,paperId:9311298}",14
"{date:1996/12/5,paperId:9612261}",70
"{date:1997/10/28,paperId:9710512}",30
"{date:None,paperId:109195}",4
"{date:1993/10/22,paperId:9310341}",15
"{date:1996/12/3,paperId:9612240}",6
"{date:1998/6/4,paperId:9806266}",83
"{date:1995/8/18,paperId:9508328}",4
"{date:1996/2/1,paperId:9602207}",72
"{date:1996/3/22,paperId:9603391}",172
"{date:1992/12/10,paperId:9212247}",1
"{date:1996/9/3,paperId:9609239}",11
"{date:1994/12/13,paperId:9412290}",5
"{date:1996/1/29,paperId:9601367}",174
"{date:None,paperId:11219}",2
"{date:1995/10/18,paperId:9510336}",1
"{date:1996/5/2,paperId:9605214}",108
"{date:None,paperId:12098}",1
"{date:None,paperId:205087}",20
"{date:None,paperId:302203}",9
"{date:1995/6/30,paperId:9506468}",8
"{date:None,paperId:8189}",41
"{date:1999/6/1,paperId:9906209}",127
"{date:1997/5/26,paperId:9705424}",10
"{date:None,paperId:205159}",14
"{date:None,paperId:11395}",10
"{date:1992/8/31,paperId:9208262}",1
"{date:1995/6/24,paperId:9506415}",3
"{date:None,paperId:204278}",16
"{date:1996/3/19,paperId:9603344}",4
"{date:1997/10/14,paperId:9710338}",13
"{date:None,paperId:211361}",8
"{date:None,paperId:111426}",1
"{date:1997/1/20,paperId:9701333}",4
"{date:None,paperId:111246}",11
"{date:1996/4/20,paperId:9604372}",4
"{date:None,paperId:112252}",3
"{date:None,paperId:210317}",26
"{date:1997/8/12,paperId:9708312}",14
"{date:None,paperId:110402}",26
"{date:None,paperId:210401}",13
"{date:None,paperId:4005}",16
"{date:1994/10/27,paperId:9410394}",4
"{date:1994/10/1,paperId:9409463}",11
"{date:1997/5/15,paperId:9705322}",4
"{date:None,paperId:7189}",16
"{date:None,paperId:105110}",5
"{date:1996/5/2,paperId:9605208}",11
"{date:1997/5/13,paperId:9705308}",17
"{date:1996/8/28,paperId:9608464}",6
"{date:1997/12/19,paperId:9712462}",11
"{date:None,paperId:204117}",16
"{date:1997/12/19,paperId:9712459}",28
"{date:None,paperId:106306}",23
"{date:1996/3/11,paperId:9603267}",26
"{date:None,paperId:2103}",38
"{date:1996/10/29,paperId:9610535}",12
"{date:1994/4/8,paperId:9404241}",25
"{date:1993/11/19,paperId:9311314}",1
"{date:1996/10/14,paperId:9610355}",12
"{date:1999/8/25,paperId:9908466}",18
"{date:1997/8/5,paperId:9708248}",11
"{date:None,paperId:112216}",40
"{date:1996/2/13,paperId:9602299}",83
"{date:1994/4/27,paperId:9404347}",6
"{date:1999/10/8,paperId:9910279}",57
"{date:1999/4/26,paperId:9904449}",23
"{date:1995/7/19,paperId:9507339}",6
"{date:1995/10/24,paperId:9510399}",16
"{date:1993/8/29,paperId:9308359}",14
"{date:None,paperId:103041}",48
"{date:None,paperId:2167}",64
"{date:1997/11/28,paperId:9711506}",17
"{date:None,paperId:212207}",6
"{date:1995/5/30,paperId:9505412}",3
"{date:1995/7/19,paperId:9507347}",4
"{date:1996/6/5,paperId:9606253}",25
"{date:1997/10/2,paperId:9710217}",63
"{date:1994/9/16,paperId:9409337}",1
"{date:1996/6/29,paperId:9606480}",7
"{date:1996/11/26,paperId:9611425}",37
"{date:1998/3/26,paperId:9803463}",25
"{date:1995/5/15,paperId:9505312}",7
"{date:1995/1/16,paperId:9501307}",80
"{date:None,paperId:108110}",28
"{date:1999/6/18,paperId:9906429}",27
"{date:1998/8/6,paperId:9808250}",3
"{date:1995/5/13,paperId:9505301}",35
"{date:1995/6/1,paperId:9506207}",56
"{date:1993/10/21,paperId:9310328}",1
"{date:1998/12/17,paperId:9812421}",50
"{date:1995/2/1,paperId:9502203}",4
"{date:None,paperId:205271}",36
"{date:1994/12/13,paperId:9412286}",23
"{date:1996/8/14,paperId:9608323}",13
"{date:None,paperId:212383}",22
"{date:None,paperId:212177}",13
"{date:1997/4/17,paperId:9704340}",1
"{date:None,paperId:109158}",26
"{date:None,paperId:212236}",12
"{date:None,paperId:111204}",5
"{date:None,paperId:208182}",7
"{date:None,paperId:212159}",28
"{date:1998/7/21,paperId:9807433}",6
"{date:1998/11/29,paperId:9811506}",47
"{date:None,paperId:210411}",10
"{date:1998/7/1,paperId:9807206}",15
"{date:None,paperId:209346}",9
"{date:1996/8/28,paperId:9608470}",37
"{date:1997/12/14,paperId:9712370}",5
"{date:1995/10/17,paperId:9510316}",7
